id	filename	md5	size	state
4b048f34-554a-4786-b740-9faaf348ac05	TCGA-Z7-A8R5-01Z-00-DX1.3BDB407F-514C-4131-B058-FA1E69154276.svs	d3e6ac3224d204015045f6619300ec79	803234395	released
ee06ed74-a000-4850-a146-9288cee29d22	TCGA-A2-A3XZ-01Z-00-DX1.B7A1344E-7015-4A21-B3D4-EB760161BE7C.svs	3764de6526846269c7bf2575912722fd	1230827647	released
6d1632a0-5709-4346-9c61-b46e61208e26	TCGA-A8-A09M-01Z-00-DX1.E2CEA8B5-C86D-4873-BE67-359FBEECCA09.svs	598321fb344c28ae523bb857662d58e7	904946036	released
8d30bd06-0d1b-476b-a334-7f59a02cd3a6	TCGA-D8-A3Z6-01Z-00-DX2.19C6AA07-5D58-46CD-91D0-90DD5CC84022.svs	819a875284cd7fffc2ef7b6fd11e4984	1138377457	released
1ddd82b5-8a00-47a9-b99e-18784f6657e1	TCGA-AC-A3YI-01Z-00-DX1.321C0A32-ABF9-48ED-8071-C6B1774E9F7B.svs	b3ecbdd420f618741e7484419c111d88	742336742	released
5fd709a7-37d3-4a8f-a513-336d7d362fa4	TCGA-LL-A740-01Z-00-DX1.757D94A5-EF0F-4A0E-99A9-8809B66438DA.svs	9a72c536ca29cd217f35bbb6a6c58453	1266063965	released
cbfa5892-7aef-4d34-8133-1dce2ee58da1	TCGA-G2-A3IE-01Z-00-DX2.48A6B225-8608-41A5-9268-63262105DDED.svs	6b38e1ca6b45cf3d0f547a16b606fb96	1715879911	released
153deaff-1f21-4daf-bc1b-49f1f531b3dd	TCGA-FD-A5BS-01Z-00-DX1.A7155CEB-37C9-4AD2-B229-B76F18814585.svs	71c770099b69053cf6e494386d4359ca	2348267135	released
8854f318-6e03-4ca9-8bbf-2a97e574e2fd	TCGA-BT-A2LD-01Z-00-DX1.A2AEDD2E-481A-401B-BDD7-5D680B5E36E9.svs	b3f514e373d4a1abbc6da55668cdd896	1308383021	released
5b0651e5-c55f-442b-91ce-eca5f226bedd	TCGA-HL-7533-01Z-00-DX1.5428d6cb-2417-4b51-9453-dd2c583bb395.svs	62a9b1e2f77b9e660014b8704aca44a3	912814757	released
9baf8f63-6e2d-4cbc-b34b-b26cea7a483c	TCGA-HZ-A49I-01Z-00-DX1.DD24EF58-28D5-4A7E-B4E8-00BBD9F15622.svs	58b6e8df8ea74394a7e7ce5a644fe9a8	235057812	released
e2b906a5-aecc-4694-b11b-bfe17c27b45e	TCGA-US-A774-01Z-00-DX1.522FF138-153F-488A-BBBC-5EA68EFD80C7.svs	4ac323595ef4fa3bb3686e83132b444e	1218689361	released
c020a2d6-9063-4067-a350-9d2207e2300c	TCGA-FC-A4JI-01Z-00-DX1.05793978-083B-4332-91D3-8843E5115808.svs	c2b23b220b1028d17dd8866256d0a4c0	586477615	released
